movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,book_publisher,book_pages,book_rating,book_ratings_count,join_author,imdb_rating,imdb_total_votes
The Stars Fell on Henrietta,tt0114534,0.0,0.0,1995.0,the stars fell on henrietta,,0,0.0,0,,6.4,892.0
Strange Days,tt0114558,90521302.32558139,17154413.97400664,1995.0,strange days,,0,0.0,0,,7.2,83466.0
The Umbrellas of Cherbourg,tt0058450,0.0,0.0,1964.0,the umbrellas of cherbourg,,0,0.0,0,,7.8,33982.0
The Tie That Binds,tt0114666,30173767.441860463,12457455.415282391,1995.0,the tie that binds,,0,0.0,0,,5.0,1312.0
Three Wishes,tt0114663,0.0,15141834.461980065,1995.0,three wishes,,0,0.0,0,,6.1,3481.0
Total Eclipse,tt0114702,0.0,732552.2601461794,1995.0,total eclipse,,0,0.0,0,,6.4,17511.0
"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682,0.0,102966242.09318271,1995.0,"to wong foo, thanks for everything! julie newmar",,0,0.0,0,,6.8,40151.0
Under Siege 2: Dark Territory,tt0114781,129316146.17940198,224846472.78766775,1995.0,under siege 2: dark territory,,0,0.0,0,,5.6,52508.0
Unstrung Heroes,tt0114798,0.0,0.0,1995.0,unstrung heroes,,0,0.0,0,,6.7,3380.0
Unzipped,tt0114805,0.0,0.0,1995.0,unzipped,,0,0.0,0,,6.5,1231.0
A Walk in the Clouds,tt0114887,43105382.05980066,107790411.10017274,1995.0,a walk in the clouds,,0,0.0,0,,6.7,38530.0
Waterworld,tt0114898,377172093.02325577,569461366.0130233,1995.0,waterworld,,0,0.0,0,,6.3,221307.0
White Man's Burden,tt0114928,17242152.823920265,0.0,1995.0,white man's burden,,0,0.0,0,,5.3,5343.0
Wild Bill,tt0114938,64658073.08970099,0.0,1995.0,wild bill,,0,0.0,0,,5.8,8587.0
The Browning Version,tt0109340,0.0,0.0,1994.0,the browning version,,0,0.0,0,,7.2,3743.0
Bushwhacked,tt0112602,0.0,0.0,1995.0,bushwhacked,,0,0.0,0,,5.6,7262.0
Burnt by the Sun,tt0111579,6208000.0,5801160.937142857,1994.0,burnt by the sun,,0,0.0,0,,7.8,17050.0
Before the Rain,tt0110882,0.0,1693557.92,1994.0,before the rain,,0,0.0,0,,7.8,16513.0
Before Sunrise,tt0112471,5388172.757475083,11930287.369036544,1995.0,before sunrise,,0,0.0,0,,8.1,368052.0
Billy Madison,tt0112508,21552691.02990033,57090349.96752159,1995.0,billy madison,,0,0.0,0,,6.4,165320.0
The Babysitter,tt0112438,0.0,0.0,1995.0,the babysitter,,0,0.0,0,,4.3,6379.0
Boys on the Side,tt0112571,45260651.16279069,50541060.46511628,1995.0,boys on the side,,0,0.0,0,,6.5,15638.0
The Cure,tt0112757,0.0,0.0,1995.0,the cure,,0,0.0,0,,7.7,11600.0
Castle Freak,tt0112643,0.0,0.0,1995.0,castle freak,,0,0.0,0,,5.9,11437.0
Circle of Friends,tt0112679,0.0,0.0,1995.0,circle of friends,,0,0.0,0,,6.6,9610.0
Clerks,tt0109445,59862.85714285714,6986505.371428572,1994.0,clerks,,0,0.0,0,,7.7,238532.0
Don Juan DeMarco,tt0112883,55428571.428571425,49220571.428571425,1994.0,don juan demarco,,0,0.0,0,,6.7,54803.0
Disclosure,tt0109635,121942857.14285713,474502025.8971428,1994.0,disclosure,,0,0.0,0,,6.2,57309.0
Dream Man,tt0112899,0.0,0.0,1995.0,dream man,,0,0.0,0,,4.9,326.0
Drop Zone,tt0109676,99771428.57142857,0.0,1994.0,drop zone,,0,0.0,0,,5.6,22703.0
Destiny Turns on the Radio,tt0112854,0.0,0.0,1995.0,destiny turns on the radio,,0,0.0,0,,4.6,2646.0
Death and the Maiden,tt0109579,0.0,0.0,1994.0,death and the maiden,,0,0.0,0,,7.2,28499.0
Dolores Claiborne,tt0109642,0.0,0.0,1995.0,dolores claiborne,,0,0.0,0,,7.4,52033.0
Dumb and Dumber,tt0109686,35474285.71428572,548244829.2114285,1994.0,dumb and dumber,,0,0.0,0,,7.3,436135.0
Eat Drink Man Woman,tt0111797,0.0,16172733.508571427,1994.0,eat drink man woman,,0,0.0,0,,7.8,24570.0
Exotica,tt0109759,0.0,0.0,1994.0,exotica,,0,0.0,0,,7.0,22113.0
Exit to Eden,tt0109758,0.0,15168738.057142857,1994.0,exit to eden,,0,0.0,0,,4.3,7634.0
Ed Wood,tt0109707,39908571.428571425,13053333.234285714,1994.0,ed wood,,0,0.0,0,,7.8,189974.0
French Kiss,tt0113117,0.0,0.0,1995.0,french kiss,,0,0.0,0,,6.6,55958.0
Forget Paris,tt0113097,0.0,0.0,1995.0,forget paris,,0,0.0,0,,6.5,13601.0
Far from Home: The Adventures of Yellow Dog,tt0113028,0.0,0.0,1995.0,far from home: the adventures of yellow dog,,0,0.0,0,,6.3,3474.0
A Goofy Movie,tt0113198,0.0,76185738.94814618,1995.0,a goofy movie,,0,0.0,0,,7.0,68283.0
Hideaway,tt0113303,32329036.544850495,26296987.919202656,1995.0,hideaway,,0,0.0,0,,5.3,7924.0
Fluke,tt0113089,0.0,0.0,1995.0,fluke,,0,0.0,0,,6.6,8007.0
Farinelli,tt0109771,0.0,0.0,1994.0,farinelli,,0,0.0,0,,6.8,7754.0
Gordy,tt0113199,0.0,8605577.871840531,1995.0,gordy,,0,0.0,0,,3.8,2171.0
Gumby: The Movie,tt0113234,0.0,0.0,1995.0,gumby: the movie,,0,0.0,0,,6.0,1130.0
The Glass Shield,tt0109906,0.0,0.0,1994.0,the glass shield,,0,0.0,0,,6.1,3677.0
