,movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,imdb_rating,imdb_total_votes,Publisher,Pages,Rating,RatingDistTotal,Authors
1584,The Lovely Bones,tt0380510,99483893.49464215,143142914.40996918,2009.0,the lovely bones,6.6,188919.0,"Little, Brown and Company",328,3.81,total:1946770,Alice Sebold
1585,The Princess and the Frog,tt0780521,160704751.02980658,408719268.3608499,2009.0,the princess and the frog,7.2,182157.0,NBM Publishing,29,3.37,total:113,Will Eisner
1586,The Art of Travel,tt0448993,3.057565960013951,0.0,2008.0,the art of travel,6.2,2661.0,Vintage,272,3.82,total:19358,Alain de Botton
1587,Veronika Decides to Die,tt1068678,13774692.945411991,0.0,2009.0,veronika decides to die,6.3,13477.0,Harper Perennial,210,3.71,total:163780,Paulo Coelho
1588,The Officers' Ward,tt0273148,0.0,0.0,2001.0,the officers' ward,7.4,1793.0,Soho Press,136,3.9,total:769,Marc Dugain
1589,Sherlock Holmes,tt0988045,137746929.45411992,802037127.5349851,2009.0,sherlock holmes,7.5,698096.0,Pocket Essentials,78,3.86,total:28,Mark Campbell
1590,Sweepers,tt0120851,0.0,0.0,1999.0,sweepers,4.3,2034.0,St. Martin's Paperbacks,464,3.95,total:399,P.T. Deutermann
1591,The Friends of Eddie Coyle,tt0070077,0.0,0.0,1973.0,the friends of eddie coyle,7.4,13298.0,Robinson,216,4.05,total:6591,George V. Higgins
1592,The Sun Also Rises,tt0051028,0.0,0.0,1957.0,the sun also rises,6.2,2814.0,Simon  Schuster Audio,8,3.82,total:354692,Ernest Hemingway
1593,The Sun Also Rises,tt0051028,0.0,0.0,1957.0,the sun also rises,6.2,2814.0,Collier Books; Macmillan Publishing Company,247,3.82,total:355469,Ernest Hemingway
1594,Diamond Dogs,tt0858433,0.0,0.0,2007.0,diamond dogs,4.1,1983.0,Grand Central Publishing,256,3.45,total:313,Alan  Watt
1595,The Innocent,tt0074686,0.0,0.0,1976.0,the innocent,7.4,4704.0,Dutton,503,3.96,total:26532,Harlan Coben
1596,Birdsong,tt1143891,0.0,0.0,2008.0,birdsong,6.3,648.0,Vintage International,483,4.09,total:65739,Sebastian Faulks
1597,Heat,tt0068688,0.0,0.0,1972.0,heat,6.1,1957.0,Philomel Books,220,3.98,total:19350,Mike Lupica
1598,Heat,tt0068688,0.0,0.0,1972.0,heat,6.1,1957.0,iUniverse,256,3.45,total:73,Arthur Herzog III
1599,The Concert,tt1320082,0.0,0.0,2009.0,the concert,7.5,19052.0,Arcade Publishing,443,3.79,total:255,Ismail Kadare
1600,The Queen and I,tt1334556,0.0,0.0,2008.0,the queen and i,7.3,627.0,Penguin,271,3.72,total:5141,Sue Townsend
1601,Sometimes a Great Notion,tt0067774,0.0,0.0,1970.0,sometimes a great notion,6.9,4881.0,Penguin Classics,715,4.17,total:20384,Ken Kesey
1602,Peter Pan,tt0054176,0.0,0.0,1960.0,peter pan,7.4,2501.0,Henry Holt and Co.,176,4.07,total:255182,J.M. Barrie
1603,Crime and Punishment,tt0026246,0.0,0.0,1935.0,crime and punishment,6.9,2436.0,Vintage Books,564,4.21,total:586002,Fyodor Dostoyevsky
1604,More Than a Game,tt1286821,0.0,1356074.8379726077,2008.0,more than a game,7.6,5783.0,Touchstone,320,3.81,total:433,Phil Jackson
1605,Triangle,tt1187064,18366257.260549325,0.0,2009.0,triangle,6.9,144679.0,Livre de Poche,445,3.85,total:12610,Ken Follett
1606,Absurdistan,tt1027658,0.0,0.0,2008.0,absurdistan,6.7,1789.0,Wheeler Publishing,595,3.31,total:12732,Gary Shteyngart
1607,The Hound of the Baskervilles,tt0264695,0.0,0.0,2000.0,the hound of the baskervilles,5.9,1284.0,IndyPublish.com,176,4.11,total:234084,Arthur Conan Doyle
1608,Shutter Island,tt1130884,119314352.97579636,439679647.26219374,2010.0,shutter island,8.2,1592869.0,HarperTorch,369,4.09,total:152018,Dennis Lehane
1609,Persuasion,tt0844330,0.0,0.0,2007.0,persuasion,7.4,17452.0,Oxford University Press,249,4.14,total:498446,Jane Austen
1610,Persuasion,tt0844330,0.0,0.0,2007.0,persuasion,7.4,17452.0,Penguin,400,4.14,total:499902,Jane Austen
1611,Dear John,tt0989757,37285735.304936364,171480234.6348856,2010.0,dear john,6.3,162310.0,Warner Books (NY),434,4.03,total:523760,Nicholas Sparks
1612,Tooth Fairy,tt0808510,71588611.78547782,167729892.20069152,2010.0,tooth fairy,5.1,52351.0,Child's Play International,32,3.86,total:163,Audrey Wood
1613,The Room,tt0368226,0.0,0.0,2003.0,the room,3.6,98777.0,Marion Boyars Publishers Ltd,288,3.52,total:4575,Hubert Selby Jr.
1614,Alice in Wonderland,tt1014759,298285882.4394909,1529447603.401015,2010.0,alice in wonderland,6.4,461544.0,Gramercy Books,92,4.03,total:367242,Jane Carruth
1615,Alice in Wonderland,tt1014759,298285882.4394909,1529447603.401015,2010.0,alice in wonderland,6.4,461544.0,Scholastic Paperbacks,160,4.02,total:214824,Lewis Carroll
1616,The Call of the Wild,tt0026164,0.0,0.0,1935.0,the call of the wild,6.8,2795.0,Scholastic,172,3.87,total:320987,Jack London
1617,The Call of the Wild,tt0026164,0.0,0.0,1935.0,the call of the wild,6.8,2795.0,Puffin Graphics,176,3.58,total:123,Neil Kleid
1618,The Fall of the Roman Empire,tt0058085,199191725.9211377,49797931.48028442,1964.0,the fall of the roman empire,6.7,11022.0,Thames & Hudson,192,3.72,total:75,Arther Ferrill
1619,The Mysteries of Pittsburgh,tt0768218,0.0,0.0,2008.0,the mysteries of pittsburgh,5.4,3574.0,Harper Perennial,320,3.64,total:24993,Michael Chabon
1620,Remember Me,tt1403981,23862870.595159277,83569098.70499521,2010.0,remember me,7.1,161234.0,Pocket Books,304,3.92,total:20557,Mary Higgins Clark
1621,Skeleton Crew,tt1297945,0.0,0.0,2009.0,skeleton crew,3.5,1177.0,,566,3.96,total:105618,Stephen King
1622,Generation X,tt0116401,14677285.067873305,0.0,1996.0,generation x,4.4,2206.0,Berkley,288,3.25,total:72,Scott Lobdell
1623,Leaves of Grass,tt1151359,13774692.945411991,1507742.687811714,2009.0,leaves of grass,6.4,28518.0,Simon  Schuster,624,4.12,total:86324,Walt Whitman
1624,Leaves of Grass,tt1151359,13774692.945411991,1507742.687811714,2009.0,leaves of grass,6.4,28518.0,Bantam Classics,528,4.12,total:86508,Walt Whitman
1625,Possession,tt0368563,0.0,0.0,2009.0,possession,5.4,8407.0,Vintage,555,3.89,total:67751,A.S. Byatt
1626,The Egyptian,tt0046949,60201930.21529324,180605790.6458797,1954.0,the egyptian,6.5,4827.0,Chicago Review Press,512,4.13,total:17571,Mika Waltari
1627,The Brothers Karamazov,tt0051435,0.0,0.0,1958.0,the brothers karamazov,6.7,3241.0,Signet Classics,736,4.32,total:228800,Fyodor Dostoyevsky
1628,The Brothers Karamazov,tt0051435,0.0,0.0,1958.0,the brothers karamazov,6.7,3241.0,Barnes  Noble Classics,752,4.32,total:229571,Fyodor Dostoyevsky
1629,New York,tt1328634,0.0,0.0,2009.0,new york,6.8,12793.0,DK Publishing (Dorling Kindersley),448,4.29,total:498,Annelise Sorensen
1630,Mother,tt1216496,7652607.191895552,26191374.1153289,2009.0,mother,7.7,78602.0,Citadel Press,406,3.93,total:11684,Maxim Gorky
1631,Mother,tt1216496,7652607.191895552,26191374.1153289,2009.0,mother,7.7,78602.0,Echo Library,285,3.93,total:11707,Maxim Gorky
1632,Dark Mirror,tt0486651,0.0,0.0,2007.0,dark mirror,4.7,1576.0,Ulverscroft,397,3.56,total:16,Basil Copper
1633,Main Street,tt0049043,0.0,0.0,1956.0,main street,7.7,1775.0,Barnes  Noble Classics,560,3.77,total:23439,Sinclair Lewis
1634,Clash of the Titans,tt0800320,186428676.5246818,347075220.1093945,2010.0,clash of the titans,5.8,302127.0,Warner Books (NY),304,3.88,total:1098,Alan Dean Foster
1635,Camille,tt0462219,9172697.880041853,0.0,2008.0,camille,5.9,5096.0,Oberon Books,102,3.5,total:12,Neil Bartlett
1636,Angel,tt0783767,23916593.343393777,0.0,2007.0,angel,5.8,5769.0,HarperCollins Publishers,495,3.65,total:1029,Barbara Taylor Bradford
1637,The Runaways,tt1017451,14914294.121974545,4468040.638784668,2010.0,the runaways,6.5,52266.0,Yearling,256,3.52,total:120,Zilpha Keatley Snyder
1638,A Farewell to Arms,tt0022879,0.0,0.0,1932.0,a farewell to arms,6.4,7385.0,Amereon Limited,336,3.81,total:253173,Ernest Hemingway
1639,Caesar and Cleopatra,tt0038390,0.0,0.0,1945.0,caesar and cleopatra,6.2,3387.0,Penguin Classics,126,3.67,total:1602,George Bernard Shaw
1640,Affinity,tt1116182,0.0,0.0,2008.0,affinity,6.2,2310.0,Riverhead Books,352,3.74,total:20802,Sarah Waters
1641,The Case for Christ,tt1153037,0.0,0.0,2007.0,the case for christ,6.6,722.0,Zondervan,367,4.14,total:94870,Lee Strobel
1642,Sahara,tt0086232,0.0,0.0,1983.0,sahara,4.9,2308.0,St. Martin's Griffin,272,3.96,total:2570,Michael Palin
1643,Skin,tt0964586,0.0,0.0,2009.0,skin,6.9,3824.0,Weekly Reader Early Learning Library,24,3.0,total:2,Cynthia Amoroso
1644,Ballet Shoes,tt1083845,0.0,0.0,2008.0,ballet shoes,6.6,9415.0,Orion Children's Books,184,4.07,total:31634,Noel Streatfeild
1645,Disgrace,tt0445953,0.0,0.0,2008.0,disgrace,6.5,5989.0,Penguin Books,220,3.84,total:80120,J.M. Coetzee
1646,Hell,tt0430224,0.0,0.0,2005.0,hell,6.7,2632.0,Turtle Point Press,255,3.69,total:1639,Henri Barbusse
1647,Johnny Angel,tt0037832,0.0,0.0,1945.0,johnny angel,6.2,1371.0,Corgi,222,3.86,total:5837,Danielle Steel
1648,Bitten,tt1249294,0.0,0.0,2008.0,bitten,5.1,2554.0,G Publishing,88,0.0,total:0,Kevin Williams
1649,Armadillo,tt1640680,2237144.118296182,0.0,2010.0,armadillo,7.4,10647.0,Knopf,337,3.5700000000000003,total:2323,William  Boyd
1650,Robin Hood,tt0955308,298285882.4394909,463341689.4298536,2010.0,robin hood,6.6,293196.0,Atheneum Books for Young Readers,64,4.0,total:1329,Paul Creswick
1651,Father and Son,tt0363249,0.0,0.0,2003.0,father and son,6.5,2718.0,Oxford University Press,304,3.72,total:775,Edmund Gosse
1652,Scavenger Hunt,tt0079858,0.0,0.0,1979.0,scavenger hunt,5.8,3286.0,Archway Paperbacks,215,3.63,total:4666,Christopher Pike
1653,Shake Hands With the Devil,tt0472562,17538835.11848877,0.0,2007.0,shake hands with the devil,7.6,3876.0,Arrow,563,4.24,total:10373,Roméo Dallaire
1654,Brief Interviews with Hideous Men,tt0790627,0.0,0.0,2009.0,brief interviews with hideous men,5.4,3754.0,Abacus,273,3.86,total:23685,David Foster Wallace
1655,The Other Side of Midnight,tt0076507,0.0,0.0,1977.0,the other side of midnight,6.0,2117.0,HarperCollins Publishers,598,3.92,total:41938,Sidney Sheldon
